x,y,z,tf
0,0,0,-3.634
0.84,0.84,0,-8.56
0.84,0,0.84,-8.56
0,0.84,0.84,-8.56
1.68,0,0,-5.899
2.519,0.84,0,-8.96
2.519,0,0.84,-8.96
1.68,0.84,0.84,-12.934
0,1.68,0,-5.899
0.84,2.519,0,-8.96
0.84,1.68,0.84,-12.934
0,2.519,0.84,-8.96
1.68,1.68,0,-9.279
2.519,2.519,0,-9.404
2.519,1.68,0.84,-13.498
1.68,2.519,0.84,-13.498
0,0,1.68,-5.899
0.84,0.84,1.68,-12.934
0.84,0,2.519,-8.96
0,0.84,2.519,-8.96
1.68,0,1.68,-9.279
2.519,0.84,1.68,-13.498
2.519,0,2.519,-9.404
1.68,0.84,2.519,-13.498
0,1.68,1.68,-9.279
0.84,2.519,1.68,-13.498
0.84,1.68,2.519,-13.498
0,2.519,2.519,-9.404
1.68,1.68,1.68,-13.936
2.519,2.519,1.68,-14.122
2.519,1.68,2.519,-14.122
1.68,2.519,2.519,-14.122
3.359,0,0,-5.949
4.199,0.84,0,-8.977
4.199,0,0.84,-8.977
3.359,0.84,0.84,-13.024
5.039,0,0,-5.952
5.039,0.84,0.84,-13.028
3.359,1.68,0,-9.355
4.199,2.519,0,-9.425
4.199,1.68,0.84,-13.524
3.359,2.519,0.84,-13.604
5.039,1.68,0,-9.36
5.039,2.519,0.84,-13.61
3.359,0,1.68,-9.355
4.199,0.84,1.68,-13.524
4.199,0,2.519,-9.425
3.359,0.84,2.519,-13.604
5.039,0,1.68,-9.36
5.039,0.84,2.519,-13.61
3.359,1.68,1.68,-14.05
4.199,2.519,1.68,-14.153
4.199,1.68,2.519,-14.153
3.359,2.519,2.519,-14.248
5.039,1.68,1.68,-14.056
5.039,2.519,2.519,-14.255
5.879,0.84,0,-8.978
5.879,0,0.84,-8.978
6.718,0,0,-5.952
7.558,0.84,0,-8.977
7.558,0,0.84,-8.977
6.718,0.84,0.84,-13.029
5.879,2.519,0,-9.425
5.879,1.68,0.84,-13.524
6.718,1.68,0,-9.36
7.558,2.519,0,-9.425
7.558,1.68,0.84,-13.524
6.718,2.519,0.84,-13.611
5.879,0.84,1.68,-13.524
5.879,0,2.519,-9.425
6.718,0,1.68,-9.36
7.558,0.84,1.68,-13.524
7.558,0,2.519,-9.425
6.718,0.84,2.519,-13.611
5.879,2.519,1.68,-14.153
5.879,1.68,2.519,-14.153
6.718,1.68,1.68,-14.056
7.558,2.519,1.68,-14.153
7.558,1.68,2.519,-14.153
6.718,2.519,2.519,-14.255
8.398,0,0,-5.952
9.238,0.84,0,-8.977
9.238,0,0.84,-8.977
8.398,0.84,0.84,-13.028
10.078,0,0,-5.952
10.917,0.84,0,-8.977
10.917,0,0.84,-8.977
10.078,0.84,0.84,-13.028
8.398,1.68,0,-9.36
9.238,2.519,0,-9.425
9.238,1.68,0.84,-13.524
8.398,2.519,0.84,-13.61
10.078,1.68,0,-9.36
10.917,2.519,0,-9.425
10.917,1.68,0.84,-13.524
10.078,2.519,0.84,-13.61
8.398,0,1.68,-9.36
9.238,0.84,1.68,-13.524
9.238,0,2.519,-9.425
8.398,0.84,2.519,-13.61
10.078,0,1.68,-9.36
10.917,0.84,1.68,-13.524
10.917,0,2.519,-9.425
10.078,0.84,2.519,-13.61
8.398,1.68,1.68,-14.056
9.238,2.519,1.68,-14.153
9.238,1.68,2.519,-14.153
8.398,2.519,2.519,-14.255
10.078,1.68,1.68,-14.056
10.917,2.519,1.68,-14.153
10.917,1.68,2.519,-14.153
10.078,2.519,2.519,-14.255
11.757,0,0,-5.952
12.597,0.84,0,-8.977
12.597,0,0.84,-8.977
11.757,0.84,0.84,-13.028
13.437,0,0,-5.952
13.437,0.84,0.84,-13.028
11.757,1.68,0,-9.36
12.597,2.519,0,-9.425
12.597,1.68,0.84,-13.524
11.757,2.519,0.84,-13.61
13.437,1.68,0,-9.36
13.437,2.519,0.84,-13.61
11.757,0,1.68,-9.36
12.597,0.84,1.68,-13.524
12.597,0,2.519,-9.425
11.757,0.84,2.519,-13.61
13.437,0,1.68,-9.36
13.437,0.84,2.519,-13.61
11.757,1.68,1.68,-14.056
12.597,2.519,1.68,-14.153
12.597,1.68,2.519,-14.153
11.757,2.519,2.519,-14.255
13.437,1.68,1.68,-14.056
13.437,2.519,2.519,-14.255
14.277,0.84,0,-8.977
14.277,0,0.84,-8.977
15.116,0,0,-5.952
15.956,0.84,0,-8.977
15.956,0,0.84,-8.977
15.116,0.84,0.84,-13.028
14.277,2.519,0,-9.425
14.277,1.68,0.84,-13.524
15.116,1.68,0,-9.36
15.956,2.519,0,-9.425
15.956,1.68,0.84,-13.524
15.116,2.519,0.84,-13.61
14.277,0.84,1.68,-13.524
14.277,0,2.519,-9.425
15.116,0,1.68,-9.36
15.956,0.84,1.68,-13.524
15.956,0,2.519,-9.425
15.116,0.84,2.519,-13.61
14.277,2.519,1.68,-14.153
14.277,1.68,2.519,-14.153
15.116,1.68,1.68,-14.056
15.956,2.519,1.68,-14.153
15.956,1.68,2.519,-14.153
15.116,2.519,2.519,-14.255
16.796,0,0,-5.952
17.636,0.84,0,-8.977
17.636,0,0.84,-8.977
16.796,0.84,0.84,-13.028
18.476,0,0,-5.952
19.315,0.84,0,-8.977
19.315,0,0.84,-8.977
18.476,0.84,0.84,-13.028
16.796,1.68,0,-9.36
17.636,2.519,0,-9.425
17.636,1.68,0.84,-13.524
16.796,2.519,0.84,-13.61
18.476,1.68,0,-9.36
19.315,2.519,0,-9.425
19.315,1.68,0.84,-13.524
18.476,2.519,0.84,-13.61
16.796,0,1.68,-9.36
17.636,0.84,1.68,-13.524
17.636,0,2.519,-9.425
16.796,0.84,2.519,-13.61
18.476,0,1.68,-9.36
19.315,0.84,1.68,-13.524
19.315,0,2.519,-9.425
18.476,0.84,2.519,-13.61
16.796,1.68,1.68,-14.056
17.636,2.519,1.68,-14.153
17.636,1.68,2.519,-14.153
16.796,2.519,2.519,-14.255
18.476,1.68,1.68,-14.056
19.315,2.519,1.68,-14.153
19.315,1.68,2.519,-14.153
18.476,2.519,2.519,-14.255
20.155,0,0,-5.952
20.995,0.84,0,-8.978
20.995,0,0.84,-8.978
20.155,0.84,0.84,-13.028
21.835,0,0,-5.952
21.835,0.84,0.84,-13.029
20.155,1.68,0,-9.36
20.995,2.519,0,-9.425
20.995,1.68,0.84,-13.524
20.155,2.519,0.84,-13.61
21.835,1.68,0,-9.36
21.835,2.519,0.84,-13.611
20.155,0,1.68,-9.36
20.995,0.84,1.68,-13.524
20.995,0,2.519,-9.425
20.155,0.84,2.519,-13.61
21.835,0,1.68,-9.36
21.835,0.84,2.519,-13.611
20.155,1.68,1.68,-14.056
20.995,2.519,1.68,-14.153
20.995,1.68,2.519,-14.153
20.155,2.519,2.519,-14.255
21.835,1.68,1.68,-14.057
21.835,2.519,2.519,-14.256
22.674,0.84,0,-8.978
22.674,0,0.84,-8.978
23.514,0,0,-5.952
24.354,0.84,0,-8.977
24.354,0,0.84,-8.977
23.514,0.84,0.84,-13.029
25.194,0,0,-5.952
25.194,0.84,0.84,-13.028
22.674,2.519,0,-9.426
22.674,1.68,0.84,-13.525
23.514,1.68,0,-9.36
24.354,2.519,0,-9.425
24.354,1.68,0.84,-13.524
23.514,2.519,0.84,-13.611
25.194,1.68,0,-9.36
25.194,2.519,0.84,-13.61
22.674,0.84,1.68,-13.525
22.674,0,2.519,-9.426
23.514,0,1.68,-9.36
24.354,0.84,1.68,-13.524
24.354,0,2.519,-9.425
23.514,0.84,2.519,-13.611
25.194,0,1.68,-9.36
25.194,0.84,2.519,-13.61
22.674,2.519,1.68,-14.154
22.674,1.68,2.519,-14.154
23.514,1.68,1.68,-14.056
24.354,2.519,1.68,-14.153
24.354,1.68,2.519,-14.153
23.514,2.519,2.519,-14.255
25.194,1.68,1.68,-14.056
25.194,2.519,2.519,-14.255
26.034,0.84,0,-8.977
26.034,0,0.84,-8.977
26.873,0,0,-5.952
27.713,0.84,0,-8.977
27.713,0,0.84,-8.977
26.873,0.84,0.84,-13.028
26.034,2.519,0,-9.425
26.034,1.68,0.84,-13.524
26.873,1.68,0,-9.36
27.713,2.519,0,-9.425
27.713,1.68,0.84,-13.524
26.873,2.519,0.84,-13.61
26.034,0.84,1.68,-13.524
26.034,0,2.519,-9.425
26.873,0,1.68,-9.36
27.713,0.84,1.68,-13.524
27.713,0,2.519,-9.425
26.873,0.84,2.519,-13.61
26.034,2.519,1.68,-14.153
26.034,1.68,2.519,-14.153
26.873,1.68,1.68,-14.056
27.713,2.519,1.68,-14.153
27.713,1.68,2.519,-14.153
26.873,2.519,2.519,-14.255
28.553,0,0,-5.952
29.393,0.84,0,-8.974
29.393,0,0.84,-8.974
28.553,0.84,0.84,-13.028
30.233,0,0,-5.939
30.233,0.84,0.84,-13.006
28.553,1.68,0,-9.36
29.393,2.519,0,-9.421
29.393,1.68,0.84,-13.518
28.553,2.519,0.84,-13.61
30.233,1.68,0,-9.34
30.233,2.519,0.84,-13.583
28.553,0,1.68,-9.36
29.393,0.84,1.68,-13.518
29.393,0,2.519,-9.421
28.553,0.84,2.519,-13.61
30.233,0,1.68,-9.34
30.233,0.84,2.519,-13.583
28.553,1.68,1.68,-14.056
29.393,2.519,1.68,-14.146
29.393,1.68,2.519,-14.146
28.553,2.519,2.519,-14.255
30.233,1.68,1.68,-14.027
30.233,2.519,2.519,-14.221
31.073,0.84,0,-8.905
31.073,0,0.84,-8.905
31.912,0,0,-5.611
32.752,0.84,0,-5.611
32.752,0,0.84,-5.611
31.912,0.84,0.84,-12.481
31.073,2.519,0,-9.34
31.073,1.68,0.84,-13.417
31.912,1.68,0,-8.905
32.752,2.519,0,-5.939
32.752,1.68,0.84,-8.905
31.912,2.519,0.84,-13.006
31.073,0.84,1.68,-13.417
31.073,0,2.519,-9.34
31.912,0,1.68,-8.905
32.752,0.84,1.68,-8.905
32.752,0,2.519,-5.939
31.912,0.84,2.519,-13.006
31.073,2.519,1.68,-14.027
31.073,1.68,2.519,-14.027
31.912,1.68,1.68,-13.417
32.752,2.519,1.68,-9.34
32.752,1.68,2.519,-9.34
31.912,2.519,2.519,-13.583
0,3.359,0,-5.949
0.84,4.199,0,-8.977
0.84,3.359,0.84,-13.024
0,4.199,0.84,-8.977
1.68,3.359,0,-9.355
2.519,4.199,0,-9.425
2.519,3.359,0.84,-13.604
1.68,4.199,0.84,-13.524
0,5.039,0,-5.952
0.84,5.039,0.84,-13.028
1.68,5.039,0,-9.36
2.519,5.039,0.84,-13.61
0,3.359,1.68,-9.355
0.84,4.199,1.68,-13.524
0.84,3.359,2.519,-13.604
0,4.199,2.519,-9.425
1.68,3.359,1.68,-14.05
2.519,4.199,1.68,-14.153
2.519,3.359,2.519,-14.248
1.68,4.199,2.519,-14.153
0,5.039,1.68,-9.36
0.84,5.039,2.519,-13.61
1.68,5.039,1.68,-14.056
2.519,5.039,2.519,-14.255
3.359,3.359,0,-9.437
4.199,4.199,0,-9.446
4.199,3.359,0.84,-13.632
3.359,4.199,0.84,-13.632
5.039,3.359,0,-9.442
5.039,4.199,0.84,-13.638
3.359,5.039,0,-9.442
4.199,5.039,0.84,-13.638
5.039,5.039,0,-9.446
3.359,3.359,1.68,-14.171
4.199,4.199,1.68,-14.185
4.199,3.359,2.519,-14.282
3.359,4.199,2.519,-14.282
5.039,3.359,1.68,-14.178
5.039,4.199,2.519,-14.289
3.359,5.039,1.68,-14.178
4.199,5.039,2.519,-14.289
5.039,5.039,1.68,-14.185
5.879,4.199,0,-9.446
5.879,3.359,0.84,-13.633
6.718,3.359,0,-9.442
7.558,4.199,0,-9.446
7.558,3.359,0.84,-13.632
6.718,4.199,0.84,-13.638
5.879,5.039,0.84,-13.639
6.718,5.039,0,-9.447
7.558,5.039,0.84,-13.638
5.879,4.199,1.68,-14.185
5.879,3.359,2.519,-14.282
6.718,3.359,1.68,-14.178
7.558,4.199,1.68,-14.185
7.558,3.359,2.519,-14.282
6.718,4.199,2.519,-14.289
5.879,5.039,2.519,-14.289
6.718,5.039,1.68,-14.185
7.558,5.039,2.519,-14.289
8.398,3.359,0,-9.442
9.238,4.199,0,-9.446
9.238,3.359,0.84,-13.632
8.398,4.199,0.84,-13.638
10.078,3.359,0,-9.442
10.917,4.199,0,-9.446
10.917,3.359,0.84,-13.632
10.078,4.199,0.84,-13.638
8.398,5.039,0,-9.446
9.238,5.039,0.84,-13.638
10.078,5.039,0,-9.446
10.917,5.039,0.84,-13.638
8.398,3.359,1.68,-14.178
9.238,4.199,1.68,-14.185
9.238,3.359,2.519,-14.282
8.398,4.199,2.519,-14.289
10.078,3.359,1.68,-14.178
10.917,4.199,1.68,-14.185
10.917,3.359,2.519,-14.282
10.078,4.199,2.519,-14.289
8.398,5.039,1.68,-14.185
9.238,5.039,2.519,-14.289
10.078,5.039,1.68,-14.185
10.917,5.039,2.519,-14.289
11.757,3.359,0,-9.442
12.597,4.199,0,-9.446
12.597,3.359,0.84,-13.632
11.757,4.199,0.84,-13.638
13.437,3.359,0,-9.442
13.437,4.199,0.84,-13.638
11.757,5.039,0,-9.446
12.597,5.039,0.84,-13.638
13.437,5.039,0,-9.446
11.757,3.359,1.68,-14.178
12.597,4.199,1.68,-14.185
12.597,3.359,2.519,-14.282
11.757,4.199,2.519,-14.289
13.437,3.359,1.68,-14.178
13.437,4.199,2.519,-14.289
11.757,5.039,1.68,-14.185
12.597,5.039,2.519,-14.289
13.437,5.039,1.68,-14.185
14.277,4.199,0,-9.446
14.277,3.359,0.84,-13.632
15.116,3.359,0,-9.442
15.956,4.199,0,-9.446
15.956,3.359,0.84,-13.632
15.116,4.199,0.84,-13.638
14.277,5.039,0.84,-13.638
15.116,5.039,0,-9.446
15.956,5.039,0.84,-13.638
14.277,4.199,1.68,-14.185
14.277,3.359,2.519,-14.282
15.116,3.359,1.68,-14.178
15.956,4.199,1.68,-14.185
15.956,3.359,2.519,-14.282
15.116,4.199,2.519,-14.289
14.277,5.039,2.519,-14.289
15.116,5.039,1.68,-14.185
15.956,5.039,2.519,-14.289
16.796,3.359,0,-9.442
17.636,4.199,0,-9.446
17.636,3.359,0.84,-13.632
16.796,4.199,0.84,-13.638
18.476,3.359,0,-9.442
19.315,4.199,0,-9.446
19.315,3.359,0.84,-13.632
18.476,4.199,0.84,-13.638
16.796,5.039,0,-9.446
17.636,5.039,0.84,-13.638
18.476,5.039,0,-9.446
19.315,5.039,0.84,-13.638
16.796,3.359,1.68,-14.178
17.636,4.199,1.68,-14.185
17.636,3.359,2.519,-14.282
16.796,4.199,2.519,-14.289
18.476,3.359,1.68,-14.178
19.315,4.199,1.68,-14.185
19.315,3.359,2.519,-14.282
18.476,4.199,2.519,-14.289
16.796,5.039,1.68,-14.185
17.636,5.039,2.519,-14.289
18.476,5.039,1.68,-14.185
19.315,5.039,2.519,-14.289
20.155,3.359,0,-9.442
20.995,4.199,0,-9.447
20.995,3.359,0.84,-13.633
20.155,4.199,0.84,-13.638
21.835,3.359,0,-9.443
21.835,4.199,0.84,-13.639
20.155,5.039,0,-9.446
20.995,5.039,0.84,-13.639
21.835,5.039,0,-9.447
20.155,3.359,1.68,-14.178
20.995,4.199,1.68,-14.185
20.995,3.359,2.519,-14.282
20.155,4.199,2.519,-14.289
21.835,3.359,1.68,-14.179
21.835,4.199,2.519,-14.29
20.155,5.039,1.68,-14.185
20.995,5.039,2.519,-14.289
21.835,5.039,1.68,-14.186
22.674,4.199,0,-9.447
22.674,3.359,0.84,-13.633
23.514,3.359,0,-9.442
24.354,4.199,0,-9.446
24.354,3.359,0.84,-13.632
23.514,4.199,0.84,-13.639
25.194,3.359,0,-9.442
25.194,4.199,0.84,-13.638
22.674,5.039,0.84,-13.639
23.514,5.039,0,-9.447
24.354,5.039,0.84,-13.638
25.194,5.039,0,-9.446
22.674,4.199,1.68,-14.186
22.674,3.359,2.519,-14.283
23.514,3.359,1.68,-14.178
24.354,4.199,1.68,-14.185
24.354,3.359,2.519,-14.282
23.514,4.199,2.519,-14.289
25.194,3.359,1.68,-14.178
25.194,4.199,2.519,-14.289
22.674,5.039,2.519,-14.29
23.514,5.039,1.68,-14.185
24.354,5.039,2.519,-14.289
25.194,5.039,1.68,-14.185
26.034,4.199,0,-9.446
26.034,3.359,0.84,-13.632
26.873,3.359,0,-9.442
27.713,4.199,0,-9.446
27.713,3.359,0.84,-13.632
26.873,4.199,0.84,-13.638
26.034,5.039,0.84,-13.638
26.873,5.039,0,-9.446
27.713,5.039,0.84,-13.638
26.034,4.199,1.68,-14.185
26.034,3.359,2.519,-14.282
26.873,3.359,1.68,-14.178
27.713,4.199,1.68,-14.185
27.713,3.359,2.519,-14.282
26.873,4.199,2.519,-14.289
26.034,5.039,2.519,-14.289
26.873,5.039,1.68,-14.185
27.713,5.039,2.519,-14.289
28.553,3.359,0,-9.442
29.393,4.199,0,-9.442
29.393,3.359,0.84,-13.626
28.553,4.199,0.84,-13.638
30.233,3.359,0,-9.421
30.233,4.199,0.84,-13.61
28.553,5.039,0,-9.446
29.393,5.039,0.84,-13.632
30.233,5.039,0,-9.425
28.553,3.359,1.68,-14.178
29.393,4.199,1.68,-14.178
29.393,3.359,2.519,-14.275
28.553,4.199,2.519,-14.289
30.233,3.359,1.68,-14.146
30.233,4.199,2.519,-14.255
28.553,5.039,1.68,-14.185
29.393,5.039,2.519,-14.282
30.233,5.039,1.68,-14.153
31.073,4.199,0,-9.36
31.073,3.359,0.84,-13.518
31.912,3.359,0,-8.974
32.752,4.199,0,-5.952
32.752,3.359,0.84,-8.974
31.912,4.199,0.84,-13.028
31.073,5.039,0.84,-13.524
31.912,5.039,0,-8.977
32.752,5.039,0.84,-8.977
31.073,4.199,1.68,-14.056
31.073,3.359,2.519,-14.146
31.912,3.359,1.68,-13.518
32.752,4.199,1.68,-9.36
32.752,3.359,2.519,-9.421
31.912,4.199,2.519,-13.61
31.073,5.039,2.519,-14.153
31.912,5.039,1.68,-13.524
32.752,5.039,2.519,-9.425
0.84,5.879,0,-8.978
0,5.879,0.84,-8.978
2.519,5.879,0,-9.425
1.68,5.879,0.84,-13.524
0,6.718,0,-5.952
0.84,7.558,0,-8.977
0.84,6.718,0.84,-13.029
0,7.558,0.84,-8.977
1.68,6.718,0,-9.36
2.519,7.558,0,-9.425
2.519,6.718,0.84,-13.611
1.68,7.558,0.84,-13.524
0.84,5.879,1.68,-13.524
0,5.879,2.519,-9.425
2.519,5.879,1.68,-14.153
1.68,5.879,2.519,-14.153
0,6.718,1.68,-9.36
0.84,7.558,1.68,-13.524
0.84,6.718,2.519,-13.611
0,7.558,2.519,-9.425
1.68,6.718,1.68,-14.056
2.519,7.558,1.68,-14.153
2.519,6.718,2.519,-14.255
1.68,7.558,2.519,-14.153
4.199,5.879,0,-9.446
3.359,5.879,0.84,-13.633
5.039,5.879,0.84,-13.639
3.359,6.718,0,-9.442
4.199,7.558,0,-9.446
4.199,6.718,0.84,-13.638
3.359,7.558,0.84,-13.632
5.039,6.718,0,-9.447
5.039,7.558,0.84,-13.638
4.199,5.879,1.68,-14.185
3.359,5.879,2.519,-14.282
5.039,5.879,2.519,-14.289
3.359,6.718,1.68,-14.178
4.199,7.558,1.68,-14.185
4.199,6.718,2.519,-14.289
3.359,7.558,2.519,-14.282
5.039,6.718,1.68,-14.185
5.039,7.558,2.519,-14.289
5.879,5.879,0,-9.447
7.558,5.879,0,-9.447
6.718,5.879,0.84,-13.639
5.879,7.558,0,-9.447
5.879,6.718,0.84,-13.639
6.718,6.718,0,-9.447
