a,b,c,root
69,-79,-18,1.34
-36,79,71,2.879
-43,-13,63,1.069
36,-57,-8,1.713
12,-52,7,4.194
1,34,41,-1.252
21,-84,77,2.577
-10,61,-87,3.826
17,-73,-93,5.322
-57,17,64,1.219
35,-82,3,2.306
-2,-90,-89,-1.012
64,-51,-76,1.559
16,-86,-82,6.201
-17,31,28,2.486
-25,3,100,2.061
-3,39,-26,12.295
-39,86,43,2.625
-53,62,59,1.791
-23,90,-17,3.714
58,-93,-30,1.879
-21,99,21,4.918
-60,59,64,1.636
-50,63,-13,1
63,-7,-63,1.057
-17,8,16,1.234
69,-52,-60,1.383
-71,78,70,1.684
-44,80,25,2.09
5,42,59,-1.783
-7,-26,68,1.771
-8,-62,96,1.323
17,-41,-10,2.635
83,-11,-92,1.121
-16,74,-12,4.457
-25,-9,39,1.082
-31,90,94,3.719
-14,54,5,3.948
13,-41,-11,3.403
43,-84,-50,2.432
-34,99,-50,2.261
-83,70,92,1.556
15,-94,-14,6.412
-82,40,88,1.308
-32,33,36,1.695
3,-100,-18,33.512
-28,94,-37,2.902
-40,78,38,2.354
2,-50,47,24.022
76,-69,-92,1.644
-41,92,-29,1.865
2,-46,42,22.048
-29,-12,96,1.624
-3,-31,94,2.451
68,-86,-65,1.797
-41,-1,90,1.469
-16,41,91,3.988
16,-97,33,5.701
-25,74,85,3.844
-11,69,-66,5.095
-46,96,-18,1.879
-10,62,50,6.922
62,2,-95,1.222
3,-14,-99,8.534
100,-61,-94,1.321
39,-13,-43,1.23
-87,61,62,1.265
-52,-35,88,1.007
64,-76,-11,1.318
47,10,-80,1.203
-1,81,-56,80.303
-16,-8,63,1.75
-45,3,79,1.359
-30,70,65,3.045
-75,61,78,1.505
28,-19,-12,1.077
100,-100,-25,1.207
6,-64,91,8.977
-15,95,-95,5.089
-3,30,-23,9.163
-13,-21,72,1.68
-68,83,28,1.496
46,-34,-18,1.096
53,-79,13,1.302
43,-94,-59,2.695
-61,43,23,1.06
28,-97,-52,3.936
-81,7,85,1.069
10,-24,-84,4.337
-58,47,45,1.375
58,-8,-94,1.344
-7,-81,-74,-1
-44,79,7,1.88
-33,45,-2,1.318
-43,-26,80,1.095
11,-80,96,5.757
39,-73,-20,2.114
42,-89,2,2.096
-72,61,34,1.231
57,-30,-95,1.581
-81,67,95,1.573
50,32,-89,1.052
42,-90,-27,2.41
2,-62,-3,31.048
57,-71,-89,2.019
87,-3,-100,1.089
44,-75,-44,2.166
11,-75,86,5.359
-10,32,20,3.735
31,-1,-64,1.453
-73,88,92,1.877
6,-53,-38,9.5
-31,-23,55,1.012
-27,45,23,2.077
8,-21,5,2.36
-6,82,-49,13.04
88,-83,-78,1.525
-100,82,70,1.342
30,-84,-88,3.612
35,-94,-58,3.203
13,-74,40,5.088
-28,-99,-81,-1.286
82,-33,-98,1.313
-34,35,74,2.077
-41,-100,-60,-1.065
-13,-40,88,1.484
60,-61,-91,1.841
4,-73,39,17.699
97,-61,-88,1.317
-9,23,27,3.43
49,-65,14,1.056
55,-23,-68,1.34
-29,94,-16,3.061
-5,70,53,14.72
-86,90,34,1.341
3,-73,38,23.801
95,-77,-94,1.479
-100,96,56,1.369
-41,57,56,2.055
-35,52,5,1.576
58,-52,-46,1.445
27,-41,14,1
47,-18,-60,1.337
42,-53,-62,2
-69,35,41,1.065
54,5,-73,1.117
3,-15,-49,7.252
-81,99,14,1.35
-23,81,-14,3.339
1,-47,-18,47.38
-24,-38,79,1.188
-5,77,-21,15.122
64,-92,-11,1.548
-50,31,93,1.709
16,28,-97,1.738
-48,70,-1,1.444
-12,37,17,3.489
-29,53,-1,1.809
97,-85,-28,1.131
-52,9,79,1.322
15,-25,-39,2.648
54,-88,-89,2.335
-59,100,73,2.246
64,-11,-53,1
-14,70,-9,4.868
-31,85,58,3.308
8,-60,-87,8.744
-22,-15,83,1.631
1,-2,-2,2.732
37,10,-88,1.413
-27,53,70,2.867
9,-15,-80,3.929
3,-10,-32,5.333
-87,54,78,1.307
56,-61,-99,1.981
51,10,-90,1.234
14,46,-85,1.319
-49,98,1,2.01
-17,90,-83,4.105
3,-43,-42,15.251
-1,30,56,31.763
34,-32,-57,1.848
89,-80,-60,1.385
43,-56,-10,1.461
36,-64,-9,1.909
33,-14,-43,1.373
-3,-17,77,2.971
-9,95,81,11.349
99,-95,-10,1.055
47,-17,-70,1.415
37,-48,-97,2.393
28,100,88,-1.571
-74,15,63,1.03
-24,74,17,3.298
-45,55,74,2.032
-14,-19,94,2
-8,53,19,6.966
-5,72,-67,13.4
-1,-32,-73,-2.472
-41,96,57,2.832
6,-74,33,11.87
72,-44,-88,1.453
-46,56,70,1.984
-33,-31,95,1.291
-50,23,89,1.584
53,-71,-96,2.173
-95,16,90,1.061
-39,14,25,1
-3,95,-63,30.989
21,25,-85,1.503
-31,39,63,2.187
4,47,73,-1.842
34,-29,-91,2.117
15,-29,-22,2.516
4,62,-80,1.198
-58,-21,80,1.007
-44,88,-37,1.399
51,-77,-56,2.046
72,-41,-98,1.486
-31,-36,100,1.307
13,-94,-68,7.893
99,-84,-36,1.162
-38,99,23,2.82
-35,-2,91,1.584
-9,71,-13,7.701
-14,40,33,3.526
43,14,-73,1.15
-51,42,35,1.337
-22,89,29,4.349
3,-70,96,21.87
53,-55,-54,1.654
-44,37,82,1.849
-34,32,17,1.32
-54,57,81,1.861
49,-70,3,1.384
38,27,-89,1.216
14,55,-99,1.342
-8,-46,-45,-1.25
-19,45,42,3.085
29,-100,71,2.448
51,-25,-69,1.434
-18,41,34,2.924
-3,-69,78,1.08
64,-77,-85,1.902
50,-80,2,1.575
-32,60,2,1.908
2,31,-44,1.309
2,22,28,-1.469
76,-83,-72,1.662
14,-54,52,2
14,-81,34,5.33
-24,88,-70,2.5
8,56,53,-1.128
-3,-19,33,1.419
12,-1,-35,1.75
46,-40,-18,1.197
86,-47,-89,1.327
-22,5,39,1.45
-75,92,98,1.911
-29,77,7,2.743
11,-56,16,4.787
30,-32,-83,2.28
12,27,-56,1.311
15,-46,-84,4.353
-28,97,14,3.603
22,3,-54,1.5
5,67,-86,1.18
-43,85,46,2.419
2,27,61,-2.869
37,-34,-51,1.72
-59,100,96,2.379
-61,-16,80,1.022
6,-52,-59,9.682
55,-89,-13,1.753
99,-79,-71,1.335
-11,55,1,5.018
36,-82,-88,3.073
-4,76,-97,17.624
17,-74,-89,5.334
21,-49,-56,3.174
55,-84,-13,1.669
26,-81,-53,3.671
-50,42,85,1.79
13,-94,7,7.156
57,-67,-94,2
18,-66,53,2.479
18,-82,-37,4.969
-35,40,52,1.918
-72,1,96,1.162
5,15,-23,1.117
-18,-10,58,1.539
73,-17,-90,1.233
-95,80,87,1.467
83,-39,-88,1.291
-96,32,100,1.201
-55,51,9,1.079
-53,97,53,2.271
3,85,100,-1.23
-8,48,97,7.596
10,-60,-28,6.435
